WKT,fid,O,D,length,walkwidth2,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green_ori,bridge,tunnel,crosswalk_ori,roof,river,D/H,gradient2,gradient,maxspeed,O_altitude,D_altitude,crosswalk,pedst,green,walkratio
"LINESTRING (139.6338315 35.4498096,139.6339231 35.4498057,139.6340595 35.4498076,139.6346319 35.4498189,139.6347565 35.4498193,139.6349498 35.4498198,139.6350074 35.44982,139.6355797 35.4498229,139.6357521 35.4498231,139.6359346 35.4498284,139.6360448 35.4498598,139.6361037 35.4498883,139.6361576 35.4499179,139.6362123 35.4499576,139.6362946 35.4500317)",259,96,623,230.96,3.5,3.5,25,1,156,61.5,30,2,2,0,0,0,0,,0.406504065,0.004762729,-0.0048,,2.5,3.6,0,0,1,0.14
"LINESTRING (139.6329233 35.4498029,139.6327891 35.449858)",260,98,624,13.613,5,0,23,1,0,0,0,0,0,0,0,1,0,,0,-0.007345919,0.0073,,4.3,4.2,1,0,0,0
"LINESTRING (139.6329233 35.4498029,139.6330435 35.4498132,139.6336917 35.4498159,139.6338315 35.4498096)",261,98,623,82.347,2.5,2.5,24,1,0,0,0,0,0,1,0,0,0,,0,-0.008500613,0.0085,,4.3,3.6,0,0,0,0.104166666666667
"LINESTRING (139.6330364 35.4497231,139.6329233 35.4498029)",262,98,102,13.553,5,0,23,1,0,0,0,0,0,0,0,1,0,,0,0,0,,4.3,4.3,1,0,0,0
"LINESTRING (139.6318201 35.4493338,139.6320331 35.4492099,139.6320904 35.4492028,139.632139 35.449201,139.632193 35.4492044,139.6322554 35.449211,139.6323516 35.4492502,139.6324342 35.4493261,139.6325986 35.4495166,139.6326976 35.4496391,139.6327893 35.4497235,139.6329233 35.4498029)",263,98,619,134.736,5,5,25.5,1,,0,,,1,0,0,0,0,,0,-0.013359458,0.0134,,4.3,2.5,0,0,1,0.196078431372549
"LINESTRING (139.63639 35.4499853,139.6362931 35.4499162,139.6362303 35.4498739,139.63617 35.4498341,139.6360733 35.4497922,139.6359517 35.4497658,139.6358595 35.4497553)",264,99,100,55.829,3.5,3.5,25,1,,0,,,2,0,0,0,0,,0,-0.035823676,0.0358,,4.3,2.3,0,0,1,0.14
"LINESTRING (139.6367379 35.4498258,139.63639 35.4499853)",265,99,696,36.161,4.5,4.5,25.5,1,32,32,32,2,1,0,0,0,0,,0.796875,-0.055308205,0.0553,,4.3,2.3,0,0,1,0.176470588235294
"LINESTRING (139.6358595 35.4497553,139.635175 35.4497523,139.6349819 35.4497512,139.6346392 35.4497477)",266,100,627,110.541,3.5,3.5,25,1,156,61.5,30,2,2,0,0,0,0,,0.406504065,0,0,,2.3,2.3,0,0,1,0.14
"LINESTRING (139.6359246 35.4496037,139.635914 35.4496586,139.6358955 35.4497026,139.6358595 35.4497553)",267,100,119,18.058,3.5,3.5,12,1,,0,,,1,0,0,0,0,,0,-0.016613135,0.0166,,2.3,2,0,0,1,0.291666666666667
"LINESTRING (139.6338312 35.4497275,139.6338315 35.4498096)",268,101,623,9.129,5,0,16.5,1,0,0,0,0,1,0,0,1,0,,0,0.010954102,-0.011,,3.5,3.6,1,0,0,0
"LINESTRING (139.6337917 35.44962,139.6338039 35.4496618,139.6338312 35.4497275)",269,101,103,12.491,5,5,16.5,1,,0,,,1,0,0,0,0,1,0,-0.024017292,0.024,,3.5,3.2,0,0,1,0.303030303030303
"LINESTRING (139.6338312 35.4497275,139.6336912 35.4497275,139.6330364 35.4497231)",270,101,102,71.997,2.5,2.5,24,1,0,0,0,0,0,1,0,0,0,,0,0.011111574,-0.0111,,3.5,4.3,0,0,0,0.104166666666667
"LINESTRING (139.6346392 35.4497477,139.6339274 35.4497307,139.6338312 35.4497275)",271,101,627,73.225,3.5,3.5,25,1,156,61.5,30,2,2,0,0,0,0,,0.406504065,-0.016387846,0.0164,,3.5,2.3,0,0,1,0.14
"LINESTRING (139.6330364 35.4497231,139.6329723 35.4496935,139.6329065 35.4496461,139.6328202 35.4495659,139.6326383 35.4492987,139.6324288 35.4490037,139.6323263 35.4489093)",272,102,701,112.373,5,5,25.5,1,30,30,30,1,1,0,0,0,0,,0.85,-0.012458509,0.0125,,4.3,2.9,0,0,1,0.196078431372549
"LINESTRING (139.6353235 35.4488179,139.6339446 35.4496015,139.6339165 35.4496135,139.6338869 35.44962,139.6337917 35.44962)",273,103,236,166.567,7.5,7.5,19,1,37,30.22222222,21,2,2,0,0,0,0,,0.628676471,-0.00600359,0.006,,3.2,2.2,0,0,1,0.394736842105263
"LINESTRING (139.6332822 35.4485422,139.633487 35.448858)",274,104,105,39.715,5,5,16.5,1,,0,,,1,0,0,0,0,1,0,0,0,,1.9,1.9,0,0,1,0.303030303030303
"LINESTRING (139.6341134 35.4484187,139.6335386 35.4488219,139.633487 35.448858)",275,104,296,74.871,6,6,30,1,32,31,30,2,1,0,0,0,0,,0.967741935,-0.002671261,0.0027,,1.9,1.7,0,0,1,0.2
"LINESTRING (139.6330258 35.4482747,139.6330963 35.4483419,139.6332822 35.4485422)",276,105,618,37.751,5,5,16.5,1,,0,,,1,0,0,0,0,1,0,0.021191492,-0.0212,,1.9,2.7,0,0,1,0.303030303030303
"LINESTRING (139.6332822 35.4485422,139.6333116 35.4485141,139.6336394 35.4482009,139.6337658 35.4480774)",277,105,294,67.752,3.5,3.5,12,1,,0,,,1,0,0,0,0,,0,-0.010331798,0.0103,,1.9,1.2,0,0,1,0.291666666666667
"LINESTRING (139.6330258 35.4482747,139.6329642 35.448215)",278,106,618,8.672,5,0,16.5,1,0,0,0,0,1,0,0,1,0,1,0,0.011531365,-0.0115,,2.6,2.7,1,0,0,0
"LINESTRING (139.6329642 35.448215,139.6329152 35.4481593,139.632681 35.4479226,139.6326257 35.4478465)",279,106,697,51.259,5,5,16.5,1,45,45,45,1,1,0,0,0,0,1,0.366666667,0.003901754,-0.0039,,2.6,2.8,0,0,1,0.303030303030303
"LINESTRING (139.6329642 35.448215,139.6327676 35.4484399,139.6325621 35.4486259,139.6323903 35.4487404,139.6322512 35.44884)",280,106,226,95.41,3.5,3.5,23.5,1,0,0,0,0,0,1,0,0,0,,0,0.002096216,-0.0021,,2.6,2.8,0,0,0,0.148936170212766
"LINESTRING (139.6333256 35.4478192,139.6330585 35.4481166,139.6329642 35.448215)",281,106,295,54.856,6,6,33,1,,0,,,2,0,0,0,0,,0,-0.02734432,0.0273,,2.6,1.1,0,0,1,0.181818181818182
"LINESTRING (139.6353657 35.4467721,139.635426 35.4467424,139.6361448 35.4463484,139.6362462 35.4462925)",282,107,108,95.954,3.5,3.5,12,1,28,28,28,2,0,0,0,0,0,,0.428571429,-0.002084332,0.0021,,1.2,1,0,0,0,0.291666666666667
"LINESTRING (139.6355137 35.4470227,139.6353657 35.4467721)",283,107,299,30.923,6,6,18,1,28,24,20,2,2,0,0,0,0,,0.75,-0.003233839,0.0032,,1.2,1.1,0,0,1,0.333333333333333
"LINESTRING (139.6351568 35.4468861,139.6353202 35.4467969,139.6353657 35.4467721)",284,107,302,22.777,3.5,3.5,12,1,25,22.5,20,2,0,0,0,0,0,,0.533333333,-0.004390394,0.0044,,1.2,1.1,0,0,0,0.291666666666667
"LINESTRING (139.6364282 35.4465236,139.6362788 35.4463345,139.6362462 35.4462925)",285,108,298,30.532,8.5,8.5,24,1,31,31,31,2,2,0,0,0,0,,0.774193548,0,0,,1,1,0,0,1,0.354166666666667
"LINESTRING (139.6382499 35.4451782,139.6384459 35.4454013)",286,109,307,30.507,4.5,4.5,15,1,25,18,13,2,2,0,0,0,0,,0.833333333,0.003277936,-0.0033,,0.9,1,0,0,1,0.3
"LINESTRING (139.6382499 35.4451782,139.638301 35.4451489,139.6392859 35.444601,139.6393434 35.4445699)",287,109,110,119.95,3.5,3.5,12,1,,0,,,0,0,0,0,0,,0,-0.002501042,0.0025,,0.9,0.6,0,0,0,0.291666666666667
"LINESTRING (139.6393434 35.4445699,139.6395276 35.4447903)",288,110,308,29.649,4.5,4.5,22.5,1,31,31,31,1,2,0,0,0,0,,0.725806452,0,0,50,0.6,0.6,0,0,1,0.2
"LINESTRING (139.6389566 35.4441017,139.6390144 35.4441715,139.6393434 35.4445699)",289,110,653,62.754,4.5,4.5,22.5,1,30,30,30,1,2,0,0,0,0,,0.75,0.004780572,-0.0048,50,0.6,0.9,0,0,1,0.2
"LINESTRING (139.637826 35.4446659,139.637865 35.4447201)",290,111,654,6.986,4.5,0,15,1,0,0,0,0,2,0,0,1,0,,0,0.014314343,-0.0143,,0.8,0.9,1,0,0,0
"LINESTRING (139.637826 35.4446659,139.6377624 35.4447035,139.6375769 35.4448046)",291,111,310,27.337,6,6,33,1,30,30,30,2,2,0,0,0,0,,1.1,0,0,30,0.8,0.8,0,0,1,0.181818181818182
"LINESTRING (139.6389112 35.4440478,139.6387943 35.4441156,139.6378754 35.4446372,139.637826 35.4446659)",292,111,707,119.95,6,6,33,1,45,31,17,2,2,0,0,0,0,,1.064516129,0.000833681,-0.0008,30,0.8,0.9,0,0,1,0.181818181818182
"LINESTRING (139.6384459 35.4454013,139.6386639 35.4456488)",293,112,307,33.873,4.5,4.5,15,1,29,28.5,27,2,2,0,0,0,0,,0.526315789,0.002952204,-0.003,,0.9,1,0,0,1,0.3
"LINESTRING (139.6390996 35.4461509,139.6392828 35.4463603)",294,113,291,28.593,4.5,4.5,15,1,18,15,12,2,2,0,0,0,0,,1,0.024481516,-0.0245,,1.1,1.8,0,0,1,0.3
"LINESTRING (139.6394676 35.4465945,139.6395044 35.4466487,139.6397765 35.4470209)",295,114,128,55.058,4.5,4.5,15,1,31,20.16666667,13,2,1,0,0,0,0,,0.743801653,0.016346398,-0.0163,,2.2,3.1,0,0,1,0.3
"LINESTRING (139.6392828 35.4463603,139.6394288 35.4465375,139.6394676 35.4465945)",296,114,291,30.978,4.5,4.5,15,1,50,30,20,2,2,0,0,0,0,,0.5,-0.012912389,0.0129,,2.2,1.8,0,0,1,0.3
"LINESTRING (139.6404587 35.4479659,139.6404997 35.4480275)",297,115,116,7.792,4.5,0,15,1,0,0,0,0,1,0,0,1,0,,0,0,0,,3,3,1,0,0,0
"LINESTRING (139.6401142 35.4474854,139.6401437 35.4475291,139.640321 35.447757,139.6404179 35.4479046,139.6404587 35.4479659)",298,115,123,61.914,4.5,4.5,15,1,22,19,13,2,1,0,0,0,0,,0.789473684,0.004845431,-0.0048,,3,3.3,0,0,1,0.3
"LINESTRING (139.6404997 35.4480275,139.6405413 35.4480899,139.6407474 35.4483686)",299,116,118,44.075,4.5,4.5,15,1,35,35,35,2,1,0,0,0,0,,0.428571429,0.00226886,-0.0023,,3,3.1,0,0,1,0.3
"LINESTRING (139.6411288 35.4488948,139.6411621 35.4489413,139.6412666 35.4490846,139.6413195 35.4491516)",300,117,243,33.378,4.5,4.5,15,1,39,32.5,26,2,1,0,0,0,0,,0.461538462,0.002995985,-0.003,,2.6,2.7,0,0,1,0.3
"LINESTRING (139.6407474 35.4483686,139.6408673 35.4485333,139.6410959 35.4488473,139.6411288 35.4488948)",301,118,243,67.951,4.5,4.5,15,1,68,52.5,37,2,1,0,0,0,0,,0.285714286,-0.005886595,0.0059,,3.1,2.7,0,0,1,0.3
"LINESTRING (139.635557 35.4491746,139.6355836 35.4492178,139.6358895 35.4495698,139.6359246 35.4496037)",302,119,235,58.261,4.5,4.5,12,1,31,26,17,2,1,0,0,0,0,,0.461538462,0,0,,2,2,0,0,1,0.375
"LINESTRING (139.6363932 35.449369,139.6359644 35.4495835,139.6359246 35.4496037)",303,119,698,49.828,4.5,4.5,14.5,1,,0,,,0,0,0,0,0,,0,-0.002006904,0.002,,2,1.9,0,0,0,0.310344827586207
"LINESTRING (139.6368549 35.4491284,139.6367976 35.4491599,139.6365946 35.4492603,139.6363932 35.449369)",304,120,698,49.658,4.5,4.5,14.5,1,,0,,,0,0,0,0,0,,0,-0.004027548,0.004,,2.1,1.9,0,0,0,0.310344827586207
"LINESTRING (139.6374322 35.4488343,139.6369543 35.4490781,139.6369072 35.449102,139.6368549 35.4491284)",305,120,658,61.677,4.5,4.5,14.5,1,,0,,,0,0,0,0,0,,0,0.00486405,-0.0049,,2.1,2.4,0,0,0,0.310344827586207
"LINESTRING (139.6379704 35.448563,139.6378717 35.4486139,139.6374322 35.4488343)",306,121,658,57.331,4.5,4.5,14.5,1,,0,,,0,0,0,0,0,,0,-0.001744257,0.0017,,2.5,2.4,0,0,0,0.310344827586207
"LINESTRING (139.6376326 35.4481189,139.6376645 35.4481615,139.6379382 35.4485212,139.6379704 35.448563)",307,121,126,58.094,8.5,8.5,24,1,44,30.6,19,2,2,0,0,0,0,,0.784313725,0.003442696,-0.0034,,2.5,2.7,0,0,1,0.354166666666667
"LINESTRING (139.6390274 35.4480331,139.6389609 35.4480712,139.6380807 35.4485075,139.6379704 35.448563)",308,121,122,112.44,3.5,3.5,11.5,1,,0,,,0,0,0,0,0,,0,0.003557453,-0.0036,,2.5,2.9,0,0,0,0.304347826086957
"LINESTRING (139.6390274 35.4480331,139.638683 35.4475826)",309,122,127,59.014,5.5,5.5,17,1,30,22.375,13,2,2,0,0,0,0,,0.759776536,-0.005083539,0.0051,,2.9,2.6,0,0,1,0.323529411764706
"LINESTRING (139.6401142 35.4474854,139.640067 35.4475131,139.6390831 35.4480017,139.6390274 35.4480331)",310,122,123,115.786,3.5,3.5,11.5,1,,0,,,0,0,0,0,0,,0,0.003454649,-0.0035,,2.9,3.3,0,0,0,0.304347826086957
"LINESTRING (139.6411739 35.446914,139.6411158 35.4469426,139.6401576 35.4474582,139.6401142 35.4474854)",311,123,124,115.133,3.5,3.5,11.5,1,,0,,,0,0,0,0,0,,0,-0.000868561,0.0009,,3.3,3.2,0,0,0,0.304347826086957
"LINESTRING (139.6397765 35.4470209,139.6400852 35.4474404,139.6401142 35.4474854)",312,123,128,60.037,4.5,4.5,15,1,31,25,13,2,1,0,0,0,0,,0.6,-0.003331279,0.0033,,3.3,3.1,0,0,1,0.3
"LINESTRING (139.6412569 35.446874,139.6411739 35.446914)",313,124,125,8.736,3.5,0,11.5,1,,0,,,0,0,0,0,0,,0,0,0,,3.2,3.2,1,0,0,0
"LINESTRING (139.6376326 35.4481189,139.6377447 35.4480614,139.6379118 35.4479762,139.638683 35.4475826)",314,126,127,112.293,4,4,13,1,,0,,,1,0,0,0,0,,0,-0.000890527,0.0009,,2.7,2.6,0,0,1,0.307692307692308
"LINESTRING (139.637096 35.4483899,139.6375246 35.448174,139.6376326 35.4481189)",315,126,657,57.19,4,4,13,1,,0,,,1,0,0,0,0,,0,-0.003497115,0.0035,,2.7,2.5,0,0,1,0.307692307692308
"LINESTRING (139.638683 35.4475826,139.6397249 35.447047,139.6397765 35.4470209)",316,127,128,117.102,4,4,13,1,,0,,,2,0,0,0,0,,0,0.004269782,-0.0043,,2.6,3.1,0,0,1,0.307692307692308
"LINESTRING (139.6324474 35.4374226,139.6326876 35.4370951,139.632748 35.4370127)",317,129,430,53.095,4.5,4.5,13,1,,0,,,1,0,0,0,0,,0,-0.009417083,0.0094,30,1.9,1.4,0,0,1,0.346153846153846
"LINESTRING (139.6322771 35.4367999,139.6326791 35.4369816,139.632748 35.4370127)",318,129,468,48.785,6.4,6.4,26.2,1,,0,,,1,0,0,0,0,,0,0.00204981,-0.002,30,1.9,2,0,0,1,0.244274809160305
"LINESTRING (139.6337614 35.4374972,139.6336797 35.4374581,139.6328235 35.4370487,139.632748 35.4370127)",319,129,222,106.449,4.5,4.5,20.5,1,,0,,,2,0,0,0,0,,0,0,0,30,1.9,1.9,0,0,1,0.219512195121951
"LINESTRING (139.6332769 35.4362761,139.6332488 35.4363152,139.6328224 35.4369091,139.632748 35.4370127)",320,129,356,94.893,0,0,5.5,0,,0,,,0,0,0,0,0,,0,0.015807278,-0.0158,,1.9,3.4,0,0,0,0
"LINESTRING (139.6310694 35.4394047,139.6313998 35.4388963)",321,130,225,63.967,4.5,4.5,13,1,,0,,,1,0,0,0,0,,0,0,0,30,0.9,0.9,0,0,1,0.346153846153846
"LINESTRING (139.6317282 35.4384206,139.6313998 35.4388963)",322,130,482,60.688,4.5,4.5,13,1,,0,,,1,0,0,0,0,,0,0.001647772,-0.0016,30,0.9,1,0,0,1,0.346153846153846
"LINESTRING (139.6324203 35.439379,139.6313998 35.4388963)",323,130,221,106.902,5.5,5.5,20,1,,0,,,1,0,0,0,0,,0,0.000935436,-0.0009,40,0.9,1,0,0,1,0.275
"LINESTRING (139.6307352 35.43988,139.630246 35.4396701)",324,131,460,50.089,4.5,4.5,13,1,,0,,,2,0,0,0,0,,0,-0.02196091,0.022,,1.9,0.8,0,0,1,0.346153846153846
"LINESTRING (139.630479 35.4402518,139.6307352 35.43988)",325,131,132,47.412,6.5,6.5,17,1,,0,,,3,0,0,0,0,,0,-0.004218341,0.0042,30,1.9,1.7,0,0,1,0.382352941176471
"LINESTRING (139.6310694 35.4394047,139.631016 35.4394806,139.6307352 35.43988)",326,131,225,60.909,4.5,4.5,13,1,,0,,,1,0,0,0,0,,0,-0.016417935,0.0164,30,1.9,0.9,0,0,1,0.346153846153846
"LINESTRING (139.6317638 35.4403007,139.6307352 35.43988)",327,131,220,104.267,4.5,4.5,13,1,,0,,,2,0,0,0,0,,0,-0.000959076,0.001,,1.9,1.8,0,0,1,0.346153846153846
"LINESTRING (139.6302508 35.4405798,139.630479 35.4402518)",328,132,217,41.924,6.5,6.5,17,1,,0,,,1,0,0,0,0,,0,-0.011926343,0.0119,30,1.7,1.2,0,0,1,0.382352941176471
"LINESTRING (139.630479 35.4402518,139.6315024 35.4406677)",329,132,219,103.607,4.5,4.5,13,1,,0,,,2,0,0,0,0,,0,-0.000965186,0.001,,1.7,1.6,0,0,1,0.346153846153846
"LINESTRING (139.6299217 35.4399995,139.630479 35.4402518)",330,132,429,57.759,4.5,4.5,13,1,,0,,,2,0,0,0,0,,0,-0.010387991,0.0104,,1.7,1.1,0,0,1,0.346153846153846
"LINESTRING (139.6312815 35.4409863,139.6322218 35.4413749,139.6323267 35.4414183)",331,133,218,106.174,0,0,6,0,,0,,,0,0,0,0,0,,0,-0.0018837,0.0019,,1.3,1.1,0,0,0,0
"LINESTRING (139.6330189 35.4419081,139.6324342 35.4414943,139.6323267 35.4414183)",332,133,345,83.057,3.5,3.5,17,1,,0,,,1,0,0,0,0,,0,-0.003611977,0.0036,30,1.3,1,0,0,1,0.205882352941176
"LINESTRING (139.6319264 35.4417919,139.6322584 35.4414819,139.6323267 35.4414183)",333,133,546,55.144,6.5,6.5,23,1,,0,,,1,0,0,0,0,,0,-0.005440302,0.0054,,1.3,1,0,0,1,0.282608695652174
"LINESTRING (139.6326718 35.4411213,139.632591 35.4411918,139.632396 35.4413587,139.6323267 35.4414183)",334,133,136,45.476,6.5,6.5,23,1,,0,,,1,0,0,0,0,,0,0.008795848,-0.0088,,1.3,1.7,0,0,1,0.282608695652174
"LINESTRING (139.6319264 35.4417919,139.631814 35.4418968)",335,134,546,15.484,6.5,6.5,23,1,,0,,,1,0,0,0,0,,0,-0.00645828,0.0065,,1.1,1,0,0,1,0.282608695652174
"LINESTRING (139.6310209 35.4413757,139.631716 35.4418324,139.631814 35.4418968)",336,134,365,92.302,0,0,4.5,0,,0,,,0,0,0,0,0,,0,0,0,,1.1,1.1,0,0,0,0
"LINESTRING (139.6314917 35.4421976,139.6315705 35.4421241,139.631814 35.4418968)",337,134,635,44.398,6.5,6.5,23,1,,0,,,1,0,0,0,0,,0,0.002252354,-0.0023,,1.1,1.2,0,0,1,0.282608695652174
"LINESTRING (139.6302508 35.4405798,139.6300957 35.4407805)",338,135,217,26.372,6.5,6.5,17,1,,0,,,1,0,0,0,0,,0,0.003791901,-0.0038,30,1.1,1.2,0,0,1,0.382352941176471
"LINESTRING (139.6310209 35.4413757,139.6300957 35.4407805)",339,135,365,106.796,0,0,4.5,0,,0,,,0,0,0,0,0,,0,0,0,,1.1,1.1,0,0,0,0
"LINESTRING (139.6298389 35.4411261,139.6298778 35.4410736,139.6300957 35.4407805)",340,135,651,44.922,6.5,6.5,17,1,,0,,,1,0,0,0,0,,0,0,0,30,1.1,1.1,0,0,1,0.382352941176471
"LINESTRING (139.6330396 35.4408168,139.6326718 35.4411213)",341,136,137,47.504,6.5,6.5,23,1,,0,,,1,0,0,0,0,,0,-0.002105086,0.0021,,1.7,1.6,0,0,1,0.282608695652174
"LINESTRING (139.6326718 35.4411213,139.6327925 35.4412065,139.6333539 35.4416029)",342,136,427,81.769,0,0,20,2,,0,,,3,0,0,0,0,,0,-0.007337744,0.0073,,1.7,1.1,0,1,1,0
"LINESTRING (139.6315024 35.4406677,139.6315868 35.4407004,139.6316465 35.4407236,139.632524 35.441064,139.6326718 35.4411213)",343,136,219,117.333,4.5,4.5,13,1,,0,,,2,0,0,0,0,,0,-0.000852275,0.0009,,1.7,1.6,0,0,1,0.346153846153846
"LINESTRING (139.6330396 35.4408168,139.6328834 35.4407536,139.6324682 35.4405856)",344,137,367,57.796,4.5,4.5,13,1,,0,,,3,0,0,0,0,,0,-0.008651118,0.0087,,1.6,1.1,0,0,1,0.346153846153846
"LINESTRING (139.633856 35.4400826,139.6337922 35.4401402,139.6330614 35.4407979,139.6330396 35.4408168)",345,137,144,110.16,6.5,6.5,23,1,,0,,,2,0,0,0,0,,0,-0.003631082,0.0036,,1.6,1.2,0,0,1,0.282608695652174
"LINESTRING (139.6333757 35.4410557,139.6331539 35.440898,139.6330396 35.4408168)",346,137,685,40.407,0,0,20,2,,0,,,3,0,0,0,0,,0,-0.014848912,0.0148,,1.6,1,0,1,1,0
"LINESTRING (139.6362719 35.4436128,139.6363432 35.443645,139.6365283 35.4437211,139.6366247 35.4437734,139.636701 35.4438147)",347,138,139,44.957,5,5,23,1,0,0,0,0,0,0,1,0,0,,0,0.02891652,-0.0289,,0.8,2.1,0,0,0,0.217391304347826
"LINESTRING (139.6369853 35.4441293,139.6368685 35.4439907,139.6368172 35.4439339,139.6367386 35.443849,139.636701 35.4438147)",348,138,724,43.474,6.5,6.5,17,1,42,42,42,1,2,0,0,0,0,,0.404761905,0.004600451,-0.0046,,0.8,1,0,0,1,0.382352941176471
"LINESTRING (139.634903 35.4448064,139.6349483 35.4447533,139.6350482 35.4446393,139.6354072 35.4442899,139.6357989 35.4439631,139.6361886 35.4436684,139.6362719 35.4436128)",349,139,640,182.142,7,7,20,1,4,4,4,1,2,0,0,0,0,,5,-0.002745111,0.0027,50,2.1,1.6,0,0,1,0.35
"LINESTRING (139.6334592 35.4456718,139.6325855 35.4462339)",350,140,327,100.849,4,4,16.5,1,41,23.5,13,2,1,0,0,0,0,,0.70212766,-0.001983163,0.002,30,1.6,1.4,0,0,1,0.242424242424242
"LINESTRING (139.6319994 35.4465138,139.6325855 35.4462339)",351,140,329,61.543,4,4,16.5,1,44,22,10,2,1,0,0,0,0,,0.75,0.00487464,-0.0049,30,1.6,1.9,0,0,1,0.242424242424242
"LINESTRING (139.6325855 35.4462339,139.6324459 35.4460638,139.6322878 35.4458712)",352,140,326,48.516,2,2,9,1,,0,,,0,0,0,0,0,,0,0.002061176,-0.0021,,1.6,1.7,0,0,0,0.222222222222222
"LINESTRING (139.6339666 35.4454055,139.6336332 35.4457939)",353,141,350,52.701,7,7,20,1,,0,,,2,0,0,0,0,,0,-0.003794994,0.0038,50,1.8,1.6,0,0,1,0.35
"LINESTRING (139.6339666 35.4454055,139.6337487 35.4455061)",354,141,352,22.688,4,4,16.5,1,17,17,17,1,1,0,0,0,0,,0.970588235,-0.013222849,0.0132,,1.8,1.5,0,0,1,0.242424242424242
"LINESTRING (139.6340468 35.4453179,139.6340033 35.4453654,139.6339666 35.4454055)",355,141,232,12.152,7,7,20,1,17,17,17,1,2,0,0,0,0,,1.176470588,-0.008229098,0.0082,50,1.8,1.7,0,0,1,0.35
"LINESTRING (139.6305965 35.4499837,139.630676 35.4498834,139.6311088 35.4493563)",356,142,630,83.79,5.5,5.5,28.5,1,,0,,,1,0,0,0,0,,0,-0.007160759,0.0072,50,3.2,2.6,0,0,1,0.192982456140351
"LINESTRING (139.6370577 35.4372119,139.6374222 35.4369133)",357,143,359,46.829,3.5,3.5,30,1,,0,,,0,1,0,0,0,,0,-0.010677145,0.0107,,4.4,3.9,0,0,0,0.116666666666667
"LINESTRING (139.6381614 35.4369954,139.6380001 35.4369766,139.6377361 35.4369498,139.6375692 35.4369308,139.6374222 35.4369133)",358,143,610,67.59,4,4,12,1,,0,,,1,0,0,0,0,,0,-0.028110667,0.0281,,4.4,2.5,0,0,1,0.333333333333333
"LINESTRING (139.6370786 35.4368863,139.63727 35.4368985,139.6374222 35.4369133)",359,143,592,31.28,4,4,12,1,,0,,,1,0,0,0,0,,0,-0.025575448,0.0256,30,4.4,3.6,0,0,1,0.333333333333333
"LINESTRING (139.6376606 35.4367088,139.6374841 35.4368601,139.6374222 35.4369133)",360,143,587,31.362,2,2,22,1,,0,,,0,0,0,0,0,,0,0.015942861,-0.0159,,4.4,4.9,0,0,0,0.090909090909091
"LINESTRING (139.6342223 35.4402863,139.6339633 35.4401423,139.633856 35.4400826)",361,144,683,40.177,5.5,5.5,18,1,,0,,,1,0,0,0,0,,0,0.002488986,-0.0025,40,1.2,1.3,0,0,1,0.305555555555556
"LINESTRING (139.63332 35.4398199,139.6337176 35.4400145,139.633856 35.4400826)",362,144,393,56.667,5.5,5.5,20,1,,0,,,1,0,0,0,0,,0,-0.001764696,0.0018,40,1.2,1.1,0,0,1,0.275
"LINESTRING (139.6348213 35.4391959,139.6347669 35.4392461,139.6339538 35.4399942,139.633856 35.4400826)",363,144,191,131.791,6.5,6.5,23,1,,0,,,2,0,0,0,0,,0,0,0,,1.2,1.2,0,0,1,0.282608695652174
"LINESTRING (139.6351891 35.4381578,139.6355759 35.4383555,139.6357058 35.4384219)",364,145,362,55.26,4.5,4.5,20.5,1,,0,,,2,0,0,0,0,,0,-0.005428882,0.0054,30,2.2,1.9,0,0,1,0.219512195121951
"LINESTRING (139.6348213 35.4391959,139.6348818 35.4391435,139.6355933 35.438521,139.6357058 35.4384219)",365,145,191,117.593,6.5,6.5,23,1,,0,,,1,0,0,0,0,,0,-0.008503908,0.0085,,2.2,1.2,0,0,1,0.282608695652174
"LINESTRING (139.6366051 35.4376169,139.6365465 35.4376693,139.6358167 35.4383225,139.6357058 35.4384219)",366,145,381,121.039,6.5,6.5,23,1,,0,,,1,0,0,0,0,,0,0.00082618,-0.0008,,2.2,2.3,0,0,1,0.282608695652174
"LINESTRING (139.6363016 35.4388534,139.6358296 35.4385115,139.6357058 35.4384219)",367,145,399,72.219,5.5,5.5,20.5,1,,0,,,2,0,0,0,0,,0,0.001384677,-0.0014,50,2.2,2.3,0,0,1,0.268292682926829
"LINESTRING (139.6452295 35.4392632,139.6455414 35.4394168)",368,146,614,33.017,0,0,7,0,,0,,,1,0,0,0,0,,0,-0.048459884,0.0485,,4.7,3.1,0,0,1,0
"LINESTRING (139.6449107 35.4395906,139.6449868 35.4395125,139.6452295 35.4392632)",369,146,148,46.47,5.5,5.5,20,1,,0,,,1,0,1,0,0,,0,-0.015063482,0.0151,,4.7,4,0,0,1,0.275
"LINESTRING (139.6455726 35.4380935,139.6456036 35.4382966)",370,147,560,22.758,5.5,5.5,20,1,,0,,,1,0,0,0,0,,0,0.004394059,-0.0044,,4.2,4.3,0,0,1,0.275
"LINESTRING (139.6438738 35.4403238,139.6439813 35.4402618,139.6441001 35.4401869,139.6443277 35.4400248,139.6448233 35.4396575,139.6449107 35.4395906)",371,148,273,124.487,5,5,20,1,,0,,,2,0,0,0,0,,0,-0.019279122,0.0193,50,4,1.6,0,0,1,0.25
